,FullDateTime,E1,E10,E11,E12,E13,E14,E15,E16,E17,E2,E3,E4,E5,E6,E7,E8,E9
0,2024-11-27 03:55:02,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
1,2024-11-27 03:55:06,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
2,2024-11-27 03:55:07,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,0,0
3,2024-11-27 03:55:08,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
4,2024-11-27 03:55:09,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
5,2024-11-27 03:55:10,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
6,2024-11-27 03:55:42,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
7,2024-11-27 03:55:46,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
8,2024-11-27 03:55:50,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
9,2024-11-27 03:55:54,0,1,0,0,0,0,0,0,0,2,2,5,2,0,0,2,1
10,2024-11-27 03:56:23,0,1,0,0,0,0,0,0,0,2,2,5,2,0,0,2,1
11,2024-11-27 03:56:47,0,1,0,0,0,0,0,0,0,2,2,5,2,0,0,2,1
12,2024-11-27 03:58:05,0,1,0,0,0,0,0,0,0,2,2,5,2,0,0,2,1
13,2024-11-27 03:58:14,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
14,2024-11-27 03:58:16,0,1,0,0,0,0,0,0,0,1,2,3,2,1,1,1,1
15,2024-11-27 03:58:17,0,1,0,0,0,0,0,0,0,1,2,3,2,1,1,1,1
16,2024-11-27 03:58:18,0,3,0,0,0,0,0,0,0,3,6,9,6,3,3,3,3
17,2024-11-27 03:58:19,0,2,0,0,0,0,0,0,0,2,4,6,4,2,2,2,2
18,2024-11-27 03:58:22,0,1,0,0,0,0,0,0,0,2,2,5,2,0,0,2,1
19,2024-11-27 03:58:24,0,1,0,0,0,0,0,0,0,2,2,5,2,0,0,2,1
20,2024-11-27 03:58:25,0,1,0,0,0,0,0,0,0,2,2,5,2,0,0,2,1
21,2024-11-27 03:58:34,0,4,0,0,0,0,0,0,0,4,8,12,8,4,4,4,4
22,2024-11-27 03:58:35,0,3,0,0,0,0,0,0,0,3,6,9,6,3,3,3,3
23,2024-11-27 03:58:36,0,1,0,0,0,0,0,0,0,1,2,3,2,1,1,1,1
24,2024-11-27 03:58:43,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0
25,2024-11-27 03:58:45,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0
