E1,E10,E11,E12,E13,E14,E2,E3,E4,E5,E6,E7,E9,IsAlarm
15,0,0,0,0,0,8,8,8,7,7,8,0,0
16,0,0,0,0,0,8,8,8,8,8,8,0,0
7,0,0,0,0,0,3,3,3,4,4,3,0,0
1,0,0,0,0,0,1,1,1,1,0,1,0,0
2,0,0,0,0,0,1,1,1,0,1,1,0,0
4,0,0,0,0,0,2,2,2,2,2,2,0,0
4,0,0,0,0,0,2,2,2,3,2,2,0,0
4,0,0,0,0,0,1,1,1,1,2,2,0,0
2,0,0,0,0,0,2,2,2,1,1,1,0,0
3,0,0,0,0,0,1,1,1,1,2,1,0,0
13,0,0,0,0,0,7,7,7,6,6,7,0,0
26,0,0,0,0,0,13,13,13,13,12,13,0,0
31,0,0,0,0,0,16,16,16,15,15,16,0,0
31,0,0,0,0,0,15,16,16,15,15,16,0,0
31,0,0,0,0,0,17,16,16,15,15,16,0,0
28,0,0,0,0,0,12,12,12,16,16,12,0,0
49,0,0,0,0,0,21,21,21,11,7,8,2,1
32,0,0,0,0,0,28,28,28,13,7,0,0,0
13,0,0,0,0,0,8,8,8,13,23,0,0,0
19,0,0,0,0,0,0,0,0,19,19,0,0,0
4,0,0,0,0,0,1,1,1,2,3,1,0,0
0,0,0,0,0,0,1,1,1,1,0,1,0,0
2,0,0,0,0,0,0,1,1,0,1,1,0,0
3,0,0,0,0,0,2,1,1,2,2,1,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,1,1,1,0,0,1,0,0
1,1,0,0,0,0,0,1,0,0,1,0,0,0
3,1,1,1,0,0,1,3,1,1,2,0,0,0
17,0,12,11,0,0,5,14,6,5,5,0,0,0
21,0,9,10,0,0,7,21,11,5,11,0,0,0
6,0,0,0,4,0,7,13,10,9,7,0,0,0
0,0,0,0,1,0,0,1,1,0,0,0,0,0
0,0,0,0,0,1,0,1,1,0,0,0,0,0
2,0,0,0,0,0,1,2,2,1,2,0,0,0
19,1,14,12,0,0,5,14,6,4,7,0,0,0
28,0,20,20,0,0,4,21,9,4,8,0,0,0
25,1,11,0,0,0,3,21,10,3,11,0,0,0
14,7,0,0,0,0,6,14,7,6,15,0,0,0
7,3,5,4,0,0,13,4,0,13,3,0,0,0
15,2,4,5,0,0,5,13,8,5,9,0,0,0
1,0,0,0,0,0,5,1,1,6,2,0,0,0
2,0,0,0,0,0,1,1,1,1,1,1,0,0
4,0,0,0,0,0,2,2,2,2,1,2,0,0
1,0,0,0,0,0,1,1,1,1,1,1,0,0
1,0,0,0,0,0,1,1,1,1,1,0,0,0
11,0,0,0,0,0,6,6,6,5,5,6,0,0
20,0,0,0,0,0,10,10,10,10,9,10,0,0
26,0,0,0,0,0,13,13,13,12,13,13,0,0
26,0,0,0,0,0,14,14,14,13,12,12,2,1
26,0,0,0,0,0,12,12,12,12,13,12,0,0
23,0,0,0,0,0,12,12,12,13,13,11,1,0
4,0,0,0,0,0,1,1,1,3,3,1,0,0
36,0,0,0,0,0,15,15,15,6,3,2,4,1
37,0,0,0,0,0,24,24,24,12,5,0,0,0
10,0,0,0,0,0,16,16,16,10,18,0,0,0
11,0,0,0,0,0,0,0,0,11,13,0,0,0
16,0,0,0,0,0,0,0,0,16,15,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,0,0,0,0,0,2,2,2,1,1,2,0,0
2,0,0,0,0,0,1,1,1,2,1,1,0,0
3,0,0,0,0,0,2,2,2,1,1,1,1,0
4,0,0,0,0,0,1,1,1,2,2,2,0,0
2,0,0,0,0,0,2,2,2,2,1,1,0,0
4,0,0,0,0,0,1,2,2,1,2,2,0,0
4,0,0,0,0,0,2,1,1,2,2,2,0,0
2,0,0,0,0,0,1,2,2,1,1,1,0,0
4,0,0,0,0,0,3,2,2,2,2,2,0,0
6,0,0,0,0,0,2,2,2,3,3,3,0,0
6,0,0,0,0,0,3,4,4,3,3,3,0,0
10,0,0,0,0,0,5,5,5,4,4,4,2,1
13,0,0,0,0,0,8,7,7,8,6,6,0,0
14,0,0,0,0,0,6,7,7,7,7,5,2,1
7,0,0,0,0,0,1,1,1,1,3,4,0,0
21,0,0,0,0,0,11,15,15,9,4,10,7,1
15,0,0,0,0,0,10,5,5,12,14,0,0,0
2,0,0,0,0,0,0,0,0,0,3,1,0,0
2,0,0,0,0,0,1,1,1,1,1,0,0,0
2,0,0,0,0,0,1,1,1,1,1,2,0,0
3,0,0,0,0,0,2,2,2,2,1,2,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0
4,0,0,0,0,0,2,2,2,2,2,1,0,0
2,0,0,0,0,0,2,2,2,2,1,2,0,0
2,0,0,0,0,0,2,1,1,2,1,1,0,0
12,0,0,0,0,0,5,5,5,5,6,5,0,0
19,0,0,0,0,0,11,11,11,9,9,11,0,0
25,0,0,0,0,0,13,13,13,12,12,13,0,0
24,0,0,0,0,0,12,12,12,12,12,12,0,0
25,0,0,0,0,0,11,11,11,13,14,9,2,1
20,0,0,0,0,0,11,11,11,9,8,8,3,1
23,0,0,0,0,0,12,12,12,12,12,5,7,1
4,0,0,0,0,0,1,1,1,4,4,1,0,0
4,0,0,0,0,0,1,1,1,1,2,1,0,0
0,0,0,0,0,0,1,1,1,1,0,0,0,0
2,0,0,0,0,0,0,0,0,0,1,1,0,0
1,0,0,0,0,0,1,1,1,0,0,0,1,0
4,0,0,0,0,0,1,2,2,2,2,0,2,1
4,0,0,0,0,0,2,1,1,2,2,0,1,0
2,0,0,0,0,0,1,2,2,1,1,0,2,1
3,0,0,0,0,0,2,1,1,2,2,0,1,0
3,0,0,0,0,0,2,2,2,1,1,0,2,1
2,0,0,0,0,0,1,1,1,2,1,0,1,0
4,0,0,0,0,0,2,2,2,1,2,0,2,1
14,0,0,0,0,0,7,7,7,7,7,0,7,1
24,0,0,0,0,0,12,12,12,12,11,0,12,1
26,0,0,0,0,0,13,13,13,12,13,0,13,1
26,0,0,0,0,0,13,14,14,13,12,0,14,1
26,0,0,0,0,0,14,13,13,12,13,0,13,1
17,0,0,0,0,0,7,7,7,11,11,0,7,1
28,0,0,0,0,0,16,16,16,10,10,0,16,1
15,0,0,0,0,0,5,5,5,11,11,0,6,1
0,0,0,0,0,0,1,1,1,0,0,0,1,0
4,0,0,0,0,0,1,1,1,2,2,0,2,1
0,0,0,0,0,0,1,1,1,0,0,0,0,0
4,0,0,0,0,0,2,2,2,2,1,0,2,1
13,0,0,0,0,0,7,7,7,6,7,0,7,1
1,0,0,0,0,0,0,0,0,1,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,2,2,2,2,1,0,1,0
4,0,0,0,0,0,1,1,1,1,2,0,2,1
2,0,0,0,0,0,1,1,1,1,1,0,1,0
2,0,0,0,0,0,1,2,2,1,1,0,1,0
2,0,0,0,0,0,2,1,1,1,1,0,1,0
4,0,0,0,0,0,2,2,2,2,2,0,2,1
3,0,0,0,0,0,2,2,2,2,2,0,1,0
1,0,0,0,0,0,1,1,1,1,0,0,1,0
6,0,0,0,0,0,2,2,2,3,3,0,3,1
4,0,0,0,0,0,2,3,3,2,2,0,2,1
4,0,0,0,0,0,2,1,1,2,2,0,2,1
